tempMode,AQ,USS,CS,VOC,RP,IP,Temperature,fail
0,6,1,6,6,63,3,15,1
4,5,2,6,4,59,3,21,1
7,6,2,6,3,49,5,24,1
2,7,3,4,4,37,4,21,1
0,6,2,5,4,37,6,16,1
0,6,2,5,5,46,3,19,1
1,5,1,6,5,33,6,23,1
7,6,4,6,6,56,4,10,1
0,5,3,6,6,34,6,15,1
0,6,2,4,5,26,4,21,1
3,4,2,6,6,57,4,22,1
1,4,1,5,6,42,5,8,1
3,5,2,6,4,59,2,6,1
1,3,2,6,6,44,6,18,1
3,6,1,4,5,46,3,6,1
0,4,3,6,6,29,3,23,1
7,7,2,5,6,28,4,19,1
1,5,2,6,6,28,5,22,1
3,6,2,6,5,26,3,14,1
7,6,1,5,5,67,5,6,1
7,6,4,5,6,64,4,16,1
7,6,2,5,5,25,3,13,1
5,3,3,7,4,20,6,22,1
2,7,4,6,5,61,2,15,1
7,4,2,6,6,54,3,20,1
3,7,2,6,6,44,5,19,1
4,6,3,4,3,37,6,21,1
2,5,2,6,4,73,6,7,1
6,6,1,6,5,37,4,12,1
7,5,2,5,6,79,3,22,1
5,6,3,6,5,36,6,21,1
6,7,1,6,6,25,7,22,1
6,7,2,5,6,58,3,14,1
2,6,2,6,6,69,4,23,1
5,6,2,5,6,47,3,19,1
6,6,4,7,6,39,5,19,1
2,7,1,7,5,23,6,24,1
1,6,1,4,6,26,7,22,1
2,6,2,6,6,51,7,8,1
7,6,5,6,4,66,4,17,1
3,7,2,6,6,33,7,18,1
7,4,2,5,4,24,7,8,1
7,5,2,6,5,67,7,18,1
7,4,2,5,5,40,4,21,1
7,4,5,6,5,59,5,20,1
4,6,2,6,3,33,3,24,1
